idObs;placette;balis;date;sp_latin;nb;nb_exact;tranc_hor;dist_per;long;sens;saison;rmq;layon;hab;site;chas;ope;prosp;long_complet
17305;AraCvide;;05/11/2005;;;non;;;1500;Retour;seche;transect vide;AraC;non;Ara;non;oncfs;AB;
17182;AraA24;2400;05/11/2005;Alouatta seniculus;1;oui;16:17;22;2000;Retour;seche;;AraA;non;Ara;non;oncfs;AM;
17183;AraA20;2000;05/11/2005;Ateles paniscus;4;non;16:17;23;2000;Retour;seche;;AraA;non;Ara;non;oncfs;AM;
17180;AraA26;2600;05/11/2005;Crax alector;4;non;15:16;10;2000;Retour;seche;;AraA;non;Ara;non;oncfs;AM;
17181;AraA26;2600;05/11/2005;Saguinus midas;4;non;15:16;22;2000;Retour;seche;;AraA;non;Ara;non;oncfs;AM;
17250;AraB15;1500;05/11/2005;Crypturellus sp.;1;oui;16:17;6;2000;Retour;seche;;AraB;non;Ara;non;oncfs;TS;
17247;AraB25;2500;05/11/2005;Crypturellus sp.;2;oui;15:16;10;2000;Retour;seche;;AraB;non;Ara;non;oncfs;TS;
17248;AraB25;2500;05/11/2005;Dasyprocta leporina;1;oui;15:16;30;2000;Retour;seche;;AraB;non;Ara;non;oncfs;TS;
17245;AraB29;2900;05/11/2005;Dasyprocta leporina;1;oui;15:16;0;2000;Retour;seche;;AraB;non;Ara;non;oncfs;TS;
17246;AraB27;2700;05/11/2005;Myoprocta acouchy;1;oui;15:16;15;2000;Retour;seche;;AraB;non;Ara;non;oncfs;TS;
17249;AraB23;2300;05/11/2005;Ortalis motmot;1;oui;15:16;15;2000;Retour;seche;;AraB;non;Ara;non;oncfs;TS;
17373;AraD28;2800;05/11/2005;Cebus olivaceus;8;oui;15:16;6;2000;Retour;seche;;AraD;non;Ara;non;oncfs;FM;
17372;AraD29;2900;05/11/2005;Myoprocta acouchy;1;oui;15:16;0;2000;Retour;seche;;AraD;non;Ara;non;oncfs;FM;
17374;AraD26;2600;05/11/2005;Tinamus major;1;oui;15:16;0;2000;Retour;seche;;AraD;non;Ara;non;oncfs;FM;
17224;AraA8;800;31/10/2005;Alouatta seniculus;2;non;08:09;30;2900;Aller;seche;;AraA;non;Ara;non;oncfs;TS;
